ORIGIN	MAX_DEP_DELAY	MIN_DEP_DELAY	AVG_DEP_DELAY	AVG_ARR_DELAY
"ABE"	794.0	-11.0	20.492	15.026
"ABI"	263.0	-11.0	25.786	27.929
"ABQ"	911.0	-18.0	8.555	4.995
"ABR"	1259.0	-13.0	36.242	33.903
"ABY"	291.0	-21.0	10.012	3.61
"ACT"	202.0	-17.0	12.952	10.5
"ACV"	578.0	-17.0	10.163	10.12
"ACY"	670.0	-21.0	7.707	2.021
"ADK"	41.0	-34.0	0.667	2.333
"ADQ"	73.0	-28.0	-6.071	-4.976
"AEX"	354.0	-20.0	11.554	9.43
"AGS"	1130.0	-11.0	20.974	16.046
"ALB"	981.0	-21.0	11.755	2.716
"AMA"	298.0	-15.0	4.415	0.798
"ANC"	1195.0	-48.0	3.619	4.851
"APN"	278.0	-19.0	19.038	16.885
"ASE"	1110.0	-20.0	31.636	28.505
"ATL"	1470.0	-22.0	15.071	9.668
"ATW"	1065.0	-16.0	24.854	23.643
"AUS"	1246.0	-22.0	8.724	6.008
"AVL"	425.0	-14.0	14.627	8.151
"AVP"	783.0	-18.0	32.04	27.38
"AZO"	268.0	-20.0	9.327	3.739
"BDL"	549.0	-20.0	6.647	-3.274
"BET"	72.0	-27.0	-2.482	0.434
"BFL"	290.0	-20.0	-2.517	-6.674
"BGM"	216.0	-15.0	9.017	5.914
"BHM"	1068.0	-18.0	13.746	7.933
"BIL"	340.0	-19.0	7.033	8.312
"BIS"	189.0	-18.0	10.407	8.398
"BJI"	65.0	-15.0	0.371	7.258
"BLI"	324.0	-21.0	8.171	6.355
"BMI"	1458.0	-18.0	29.518	21.67
"BNA"	1447.0	-20.0	8.701	4.484
"BOI"	889.0	-22.0	14.527	15.594
"BOS"	1545.0	-28.0	9.02	-0.1
"BPT"	129.0	-6.0	22.857	25.286
"BQK"	343.0	-9.0	23.518	19.012
"BQN"	351.0	-23.0	9.963	5.447
"BRD"	271.0	-12.0	11.434	11.453
"BRO"	428.0	-19.0	7.396	4.443
"BRW"	160.0	-29.0	-2.725	-0.463
"BTM"	562.0	-16.0	21.603	23.431
"BTR"	565.0	-21.0	22.216	18.328
"BTV"	540.0	-18.0	10.602	5.197
"BUF"	899.0	-23.0	7.278	-0.894
"BUR"	435.0	-20.0	12.068	10.967
"BWI"	1934.0	-20.0	8.51	2.233
"BZN"	425.0	-24.0	9.418	6.384
"CAE"	408.0	-15.0	15.856	9.436
"CAK"	337.0	-22.0	8.734	1.435
"CDC"	162.0	-20.0	6.302	8.547
"CDV"	19.0	-38.0	-13.2	-9.767
"CHA"	1333.0	-14.0	23.144	19.717
"CHO"	310.0	-22.0	16.5	10.472
"CHS"	1480.0	-29.0	11.392	7.511
"CID"	602.0	-21.0	15.75	10.976
"CIU"	220.0	-14.0	7.241	4.552
"CLE"	1024.0	-25.0	12.001	6.002
"CLL"	418.0	-20.0	9.917	9.87
"CLT"	1013.0	-23.0	5.36	2.423
"CMH"	470.0	-18.0	9.635	1.952
"CMX"	444.0	-14.0	20.935	14.839
"COD"	185.0	-17.0	5.639	6.689
"COS"	647.0	-21.0	10.471	8.272
"CPR"	419.0	-25.0	4.103	-1.294
"CRP"	348.0	-17.0	3.658	2.412
"CRW"	451.0	-20.0	18.042	7.805
"CSG"	232.0	-11.0	14.304	13.253
"CVG"	426.0	-20.0	8.966	1.446
"CWA"	180.0	-19.0	6.393	2.836
"DAB"	462.0	-19.0	11.603	6.106
"DAL"	770.0	-17.0	10.513	8.122
"DAY"	472.0	-19.0	10.164	4.379
"DCA"	1201.0	-25.0	8.172	2.411
"DEN"	1034.0	-23.0	13.15	8.978
"DFW"	1255.0	-19.0	10.956	9.138
"DHN"	263.0	-13.0	18.478	15.133
"DLH"	442.0	-27.0	6.589	-0.572
"DRO"	918.0	-30.0	14.445	16.345
"DSM"	705.0	-18.0	10.496	3.652
"DTW"	990.0	-23.0	13.252	4.762
"DVL"	194.0	-18.0	8.019	5.151
"EAU"	45.0	-25.0	-1.931	-7.466
"ECP"	365.0	-14.0	14.319	7.469
"EGE"	1399.0	-23.0	25.176	20.821
"EKO"	1010.0	-11.0	54.358	58.075
"ELM"	411.0	-11.0	26.786	27.929
"ELP"	609.0	-23.0	8.301	4.446
"ERI"	147.0	-16.0	5.152	5.286
"ESC"	839.0	-12.0	36.358	20.491
"EUG"	391.0	-18.0	13.884	12.705
"EVV"	281.0	-17.0	5.171	-1.932
"EWN"	506.0	-12.0	21.071	15.179
"EWR"	680.0	-24.0	16.808	8.757
"EYW"	293.0	-13.0	11.396	3.321
"FAI"	595.0	-23.0	5.855	1.301
"FAR"	180.0	-17.0	6.384	3.35
"FAT"	601.0	-30.0	12.046	9.881
"FAY"	400.0	-11.0	13.429	6.75
"FCA"	312.0	-16.0	11.362	7.175
"FLG"	123.0	-17.0	0.226	0.828
"FLL"	1034.0	-20.0	13.73	9.522
"FNT"	286.0	-13.0	9.316	3.289
"FSD"	384.0	-17.0	12.003	5.995
"FSM"	506.0	-17.0	25.124	21.022
"FWA"	418.0	-22.0	12.733	6.797
"GCC"	662.0	-21.0	14.427	12.135
"GCK"	452.0	-25.0	6.903	2.5
"GEG"	463.0	-23.0	5.426	2.374
"GFK"	195.0	-13.0	8.218	1.802
"GGG"	210.0	0.0	44.125	47.75
"GJT"	231.0	-16.0	-0.348	-1.544
"GNV"	1005.0	-13.0	23.407	15.905
"GPT"	510.0	-14.0	16.81	11.605
"GRB"	961.0	-13.0	20.28	20.227
"GRI"	428.0	-24.0	15.603	11.276
"GRK"	598.0	-14.0	16.94	16.58
"GRR"	358.0	-25.0	11.505	4.709
"GSO"	379.0	-14.0	14.041	5.965
"GSP"	824.0	-16.0	11.92	6.471
"GTF"	140.0	-12.0	-1.756	-6.533
"GTR"	227.0	-13.0	11.549	8.451
"GUC"	225.0	-21.0	17.81	12.952
"GUM"	40.0	-14.0	10.065	1.226
"HDN"	1199.0	-25.0	34.218	29.723
"HIB"	383.0	-58.0	-0.5	1.155
"HLN"	647.0	-12.0	14.596	12.728
"HNL"	933.0	-19.0	4.869	1.683
"HOB"	183.0	-22.0	7.98	-3.48
"HOU"	365.0	-15.0	10.172	8.175
"HPN"	430.0	-18.0	14.5	2.992
"HRL"	246.0	-11.0	8.201	8.527
"HSV"	434.0	-25.0	9.276	0.788
"HYS"	228.0	-15.0	5.83	4.962
"IAD"	466.0	-19.0	9.436	1.766
"IAG"	252.0	-18.0	12.661	1.5
"IAH"	1361.0	-25.0	10.774	5.27
"ICT"	852.0	-27.0	10.553	3.41
"IDA"	487.0	-21.0	15.704	15.006
"ILM"	389.0	-17.0	6.239	2.58
"IMT"	1030.0	-21.0	18.246	13.175
"IND"	460.0	-22.0	7.242	1.534
"INL"	417.0	-25.0	5.792	-6.962
"ISN"	296.0	-20.0	1.476	-9.619
"ISP"	246.0	-11.0	6.28	-0.265
"ITH"	151.0	-16.0	6.793	6.052
"ITO"	286.0	-24.0	-0.431	0.022
"JAC"	1123.0	-23.0	29.771	28.457
"JAN"	330.0	-18.0	9.694	5.244
"JAX"	1005.0	-20.0	7.58	2.923
"JFK"	1301.0	-19.0	12.812	4.501
"JMS"	186.0	-59.0	2.655	-1.917
"JNU"	375.0	-27.0	2.08	1.015
"KOA"	235.0	-24.0	4.588	0.957
"KTN"	313.0	-35.0	0.89	0.742
"LAN"	401.0	-26.0	15.539	14.023
"LAR"	267.0	-29.0	5.623	-0.868
"LAS"	1002.0	-24.0	15.513	10.384
"LAW"	1322.0	-14.0	72.226	74.258
"LAX"	1080.0	-20.0	18.39	9.99
"LBB"	679.0	-16.0	8.68	6.341
"LBE"	104.0	-18.0	0.118	-8.419
"LCH"	1045.0	-19.0	17.288	18.174
"LEX"	895.0	-20.0	19.008	14.359
"LFT"	860.0	-27.0	11.349	8.09
"LGA"	914.0	-24.0	12.32	0.949
"LGB"	437.0	-19.0	15.462	12.472
"LIH"	822.0	-26.0	3.544	0.672
"LIT"	336.0	-18.0	7.833	2.37
"LNK"	1032.0	-23.0	13.359	8.055
"LRD"	501.0	-22.0	8.421	5.321
"LSE"	2.0	-16.0	-7.364	-20.273
"LWS"	891.0	-22.0	37.0	41.875
"MAF"	1402.0	-19.0	8.616	6.107
"MBS"	487.0	-23.0	14.915	11.39
"MCI"	1448.0	-24.0	9.081	5.17
"MCO"	972.0	-24.0	11.733	6.396
"MDT"	685.0	-22.0	18.754	9.022
"MDW"	1030.0	-17.0	9.488	4.272
"MEI"	272.0	-34.0	3.571	1.976
"MEM"	950.0	-21.0	10.127	3.839
"MFE"	327.0	-17.0	7.231	5.968
"MFR"	917.0	-19.0	25.37	24.863
"MGM"	466.0	-17.0	17.625	9.815
"MHT"	371.0	-14.0	8.218	-0.532
"MIA"	1072.0	-17.0	12.442	8.091
"MKE"	1074.0	-32.0	11.64	6.753
"MKG"	202.0	-20.0	1.086	-4.448
"MLB"	958.0	-8.0	16.675	9.0
"MLI"	526.0	-17.0	13.553	9.155
"MLU"	839.0	-20.0	17.167	16.536
"MMH"	59.0	-17.0	2.194	3.839
"MOB"	428.0	-28.0	9.956	6.573
"MOT"	863.0	-19.0	18.349	8.446
"MQT"	254.0	-17.0	12.966	10.328
"MRY"	397.0	-23.0	8.786	9.056
"MSN"	417.0	-20.0	12.635	10.71
"MSO"	534.0	-18.0	10.028	5.979
"MSP"	991.0	-21.0	12.17	3.468
"MSY"	879.0	-25.0	8.471	5.692
"MTJ"	1970.0	-26.0	23.041	20.476
"MYR"	267.0	-21.0	6.523	1.837
"OAJ"	466.0	-10.0	19.598	11.563
"OAK"	366.0	-25.0	13.701	10.214
"OGG"	1007.0	-25.0	6.738	1.921
"OKC"	432.0	-23.0	7.319	3.653
"OMA"	1277.0	-28.0	8.831	3.487
"OME"	202.0	-26.0	10.016	14.23
"ONT"	352.0	-21.0	12.557	9.19
"ORD"	1087.0	-24.0	13.545	9.941
"ORF"	455.0	-18.0	8.385	1.328
"ORH"	126.0	-19.0	4.968	-7.032
"OTH"	260.0	-14.0	24.889	23.667
"OTZ"	154.0	-26.0	6.41	7.344
"PAH"	125.0	-19.0	-0.586	-5.241
"PBG"	164.0	-20.0	6.548	0.968
"PBI"	980.0	-24.0	13.803	10.272
"PDX"	504.0	-22.0	10.165	8.078
"PGD"	480.0	-22.0	32.518	25.143
"PHF"	594.0	-7.0	15.954	7.954
"PHL"	501.0	-23.0	7.946	0.559
"PHX"	589.0	-22.0	8.213	3.394
"PIA"	298.0	-26.0	7.946	-2.188
"PIB"	282.0	-15.0	4.415	4.113
"PIH"	1475.0	-19.0	33.375	18.775
"PIT"	786.0	-22.0	5.627	-2.949
"PLN"	270.0	-30.0	8.676	4.216
"PNS"	348.0	-20.0	7.327	1.751
"PPG"	0.0	-23.0	-10.3	-12.5
"PSC"	307.0	-22.0	10.62	13.293
"PSE"	391.0	-20.0	10.2	6.36
"PSG"	271.0	-38.0	-3.871	-2.323
"PSP"	386.0	-22.0	12.983	7.487
"PVD"	365.0	-20.0	4.366	-4.494
"PWM"	748.0	-18.0	12.613	6.405
"RAP"	474.0	-22.0	7.195	3.188
"RDD"	629.0	-16.0	21.386	18.875
"RDM"	526.0	-21.0	18.145	19.697
"RDU"	1325.0	-19.0	10.433	6.226
"RHI"	235.0	-56.0	-1.573	-4.506
"RIC"	1043.0	-20.0	17.308	11.186
"RKS"	70.0	-17.0	-1.316	-5.175
"RNO"	787.0	-18.0	13.517	12.687
"ROA"	514.0	-19.0	26.149	19.116
"ROC"	1030.0	-16.0	11.555	3.787
"ROW"	117.0	-24.0	-3.765	2.118
"RST"	1228.0	-15.0	25.73	18.28
"RSW"	805.0	-24.0	7.665	3.306
"SAF"	287.0	-20.0	2.093	2.93
"SAN"	1335.0	-26.0	12.741	7.532
"SAT"	579.0	-19.0	9.477	7.387
"SAV"	425.0	-23.0	11.824	6.369
"SBA"	595.0	-22.0	10.396	11.29
"SBN"	403.0	-24.0	18.58	11.409
"SBP"	379.0	-19.0	14.889	15.733
"SCC"	203.0	-35.0	1.855	-3.839
"SCE"	392.0	-13.0	20.698	18.663
"SDF"	372.0	-20.0	9.553	4.465
"SEA"	882.0	-22.0	9.175	5.52
"SFO"	958.0	-21.0	19.066	13.493
"SGF"	222.0	-19.0	10.791	5.432
"SGU"	224.0	-15.0	4.601	5.377
"SHV"	449.0	-22.0	18.006	14.609
"SIT"	390.0	-23.0	4.62	4.022
"SJC"	610.0	-25.0	11.18	6.869
"SJT"	141.0	-15.0	14.71	15.968
"SJU"	1283.0	-31.0	8.471	2.742
"SLC"	2755.0	-23.0	14.983	11.334
"SMF"	1133.0	-22.0	12.728	9.397
"SNA"	523.0	-24.0	10.937	5.567
"SPI"	480.0	-25.0	20.321	17.85
"SPS"	283.0	-18.0	10.386	7.83
"SRQ"	799.0	-22.0	10.019	4.405
"STL"	762.0	-23.0	9.056	6.043
"STT"	1266.0	-27.0	7.847	1.305
"STX"	239.0	-27.0	1.136	-2.245
"SUN"	350.0	-18.0	13.485	10.206
"SWF"	137.0	-20.0	4.29	-5.323
"SYR"	1062.0	-19.0	14.429	2.683
"TKI"	45.0	45.0	45.0	0.0
"TLH"	993.0	-9.0	24.267	18.491
"TPA"	830.0	-27.0	8.707	4.52
"TRI"	415.0	-14.0	13.571	1.828
"TTN"	613.0	-20.0	16.353	5.845
"TUL"	381.0	-17.0	4.725	2.691
"TUS"	373.0	-21.0	9.012	4.517
"TVC"	1470.0	-19.0	30.76	19.918
"TWF"	460.0	-13.0	25.872	27.04
"TXK"	215.0	-21.0	9.922	17.451
"TYR"	58.0	-7.0	6.375	5.5
"TYS"	477.0	-18.0	11.29	5.175
"VLD"	366.0	-13.0	16.563	13.931
"VPS"	1244.0	-14.0	22.654	15.728
"WRG"	305.0	-37.0	5.226	3.081
"XNA"	840.0	-20.0	18.233	10.026
"YAK"	136.0	-48.0	-12.167	-15.45
"YUM"	329.0	-15.0	6.217	4.567
	
__Ranking list that contains top 10 airports by their average arrival delay__	
ORIGIN	AVG_ARR_DELAY
"LSE"	-20.273
"YAK"	-15.45
"PPG"	-12.5
"CDV"	-9.767
"ISN"	-9.619
"LBE"	-8.419
"EAU"	-7.466
"ORH"	-7.032
"INL"	-6.962
"BFL"	-6.674
	
__Ranking list that contains worst 10 airports by their average arrival delay__	
ORIGIN	AVG_ARR_DELAY
"LAW"	74.258
"EKO"	58.075
"GGG"	47.75
"LWS"	41.875
"ABR"	33.903
"HDN"	29.723
"ASE"	28.505
"JAC"	28.457
"ELM"	27.929
"ABI"	27.929
